District,Total Population,Total housing units,Biden 20 Votes,Trump 20 Votes,2020 Votes,Clinton 16 Votes,Trump 16 Votes,2016 Votes,2012 Margin,Obama Votes,McCain Votes,High school,"Some college, no degree",Associates degree,Bachelors degree,Graduate or professional degree,Median household income,Mean household income,Occupied housing units,Vacant housing units,Median house value,Median gross rent,Urban Population,Suburban Population,Rural Population,Total Respondents,Employed,Unemployed,Not in labor force,Driving alone,Carpools and taxis,Public transportation (excluding taxis),Walked,Other means,Worked from home,Mean travel time to work (minutes),Median age,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Latino
LA-2,762623,361774,272553,82116,354669,247624,73825,321449,-51.70%,234241,81040,157050,115733,36798,88702,54765,44363,64848,305872,55902,188600,1000,356339,271580,78682,706601,313287,40082,252537,217462,31144,8155,6933,9042,35694,24.5,38.4,715837,214267,451726,2485,21153,360,25846,46786,55079
LA-3,762255,346738,106734,239328,346062,99497,227860,327357,34.01%,111026,208625,185708,100034,36350,80688,39628,53747,73509,287766,58972,181100,860,166134,279896,292801,738831,340448,18569,235483,276973,23830,461,5720,6515,22468,25.3,37.7,714362,505730,186672,1431,10968,85,9476,47893,30039
LA-4,768157,363700,130826,215522,346348,126163,205736,331899,18.66%,138382,199324,187091,106242,34305,69939,40255,44998,65796,299414,64286,152800,831,149469,263104,392045,804618,288001,28337,275967,239477,26609,1620,4330,4998,18852,25.6,38.4,722588,443162,259853,3289,8960,569,6755,45569,32552
LA-5,770753,348124,120688,224733,345421,116424,214143,330567,23.38%,127397,212037,191672,101166,33613,64396,37130,43382,64528,283732,64392,152100,762,132515,206290,450799,789603,296625,26206,286997,236151,22317,1221,5146,6912,19592,25.1,38,734083,454545,260285,3426,6594,478,8755,36670,21222
LA-6,784290,335131,115991,237455,353446,101055,219309,320364,38.76%,94110,214087,153168,109165,34457,105498,60537,65719,91171,299246,35885,225000,1064,147469,353761,224967,726198,366310,25463,228306,297319,26652,1999,1879,2584,28734,26.8,36.1,730319,503397,184291,3489,17886,0,21256,53971,46377
MA-1,776085,347398,235201,150047,385248,201248,137157,338405,-27.83%,221794,122791,162250,86911,54594,105923,77056,64803,89251,316275,31123,274200,1003,175650,426188,173686,775525,357482,29541,249279,256119,24287,6408,8033,5054,50791,24.9,41.2,670375,560161,47269,1858,18760,0,42327,105710,151966
MA-2,781228,317149,254519,132540,387059,209107,123066,332173,-21.45%,208004,124254,115763,82443,43615,139442,112620,86865,114221,297464,19685,381000,1265,139816,421753,163577,725147,398497,30349,222087,256553,27251,4641,10380,6841,82246,26.4,39.3,704620,567741,45784,1361,51220,375,38139,76608,85855
MA-3,775520,308061,233535,131371,364906,195231,121845,317076,-15.31%,182083,122770,140565,81329,44614,117138,90095,83024,111858,294163,13898,436600,1406,184920,445431,76242,706593,386559,29559,209574,246417,32321,3651,8151,9370,77042,27.8,39.9,675053,501881,32196,2138,57940,99,80799,100467,168850
MA-4,777691,314567,263665,145116,408781,217826,132524,350350,-19.07%,218898,133110,115118,76100,37870,133041,130809,101977,146780,299290,15277,489200,1336,124929,520837,74813,720579,398961,27624,205995,241477,25586,10399,11412,7575,93393,28,40.7,708633,613094,21221,1219,47429,459,25211,69058,49640
MA-5,766453,317216,298874,94414,393288,255386,92837,348223,-33.54%,226325,108171,92173,54985,28324,157821,172164,115618,159464,300525,16691,710200,1888,222333,477796,10196,710324,415806,23701,194084,198110,20782,24979,14132,11386,139431,27.4,38.6,682386,494678,39495,1229,106625,149,40210,84067,82348
MA-6,780128,324238,283227,158964,442191,227630,152986,380616,-11.11%,215273,156081,128377,76502,45554,158161,121236,103105,135101,306213,18025,583400,1576,131096,539955,48969,720020,413631,25883,205423,256643,20666,9661,10912,7711,99394,27.4,43.2,722399,613268,27234,1978,38878,33,41008,57729,82984
MA-7,761699,333817,269379,41247,310626,247479,34540,282019,-69.23%,209809,41911,106363,65065,28373,129850,119659,75812,108481,303904,29913,623700,1805,591119,103142,4683,698945,412703,35935,204901,140701,23262,70718,43474,18628,106973,29.8,33.2,613125,302808,159939,2248,85450,742,61938,148574,175748
MA-8,772956,339618,277345,130314,407659,228502,124147,352649,-19.56%,201316,136747,115223,75282,40389,162401,126731,100517,139051,316991,22627,561900,1789,268684,428074,16511,713268,423925,29240,188630,224237,23745,24646,16831,7973,115406,29,39.1,697509,518916,74240,585,74772,119,28877,75447,51485
MA-9,792963,415708,266298,183106,449404,212641,171656,384297,-9.74%,220596,163018,148302,95821,53235,146971,99305,87687,120043,324193,91515,480100,1174,84670,485307,151819,721796,397108,23406,244871,277093,24026,3738,7192,6735,71323,26.8,46.6,731505,659648,19357,3219,12573,130,36578,61458,48474
MD-1,780224,364178,171274,230936,402210,133884,220643,354527,17.43%,145171,203856,165688,106517,45012,110294,73397,80984,105071,304917,59261,318900,1175,59796,387373,284866,732035,379315,24468,229701,280619,25084,1067,5034,5081,58203,27.7,41.7,725633,575719,110501,2273,16455,477,20208,54591,40151
MD-2,774740,317663,232384,150935,383319,193450,152487,345937,-7.88%,189130,163758,125218,98546,36008,127523,114042,87980,116735,302845,14818,346000,1408,102253,534410,92098,728761,394896,20448,212178,261879,24002,5927,6616,6615,83996,27.3,40,723030,474830,188704,1430,44803,625,12638,51710,38061
MD-3,771084,299343,255269,149735,405004,197828,147068,344896,-7.74%,179135,157280,98518,92907,38058,141216,132486,114804,147750,289086,10257,457000,1744,62122,585559,40456,688137,394199,16557,193396,261913,23243,3249,5503,5503,98076,27,39.5,713346,453994,136905,2829,85069,550,33999,57738,63765
MD-4,746989,286980,271634,26252,297886,270118,22449,292567,-83.16%,257261,27601,141151,96279,28212,95456,67846,80808,98875,272010,14970,360700,1544,250108,426849,15649,692606,372283,33636,186462,207730,40149,24909,5451,11387,78195,32.9,37.1,687057,90329,410134,4801,34114,571,147108,59932,187818
MD-5,789756,300327,280869,128856,409725,205347,122588,327935,-27.78%,205058,121550,132395,114513,45991,123105,96770,117049,136248,285346,14981,400500,1790,44896,471026,151770,667692,396763,22859,196818,262373,27282,5327,5126,6221,100259,33.9,39.6,725499,355830,324125,3737,22878,67,18862,64257,50057
MD-6,779649,315296,200390,163854,364244,160786,156713,317499,-1.27%,156544,145313,142783,87966,40630,117352,97919,86245,110930,294285,21011,346500,1460,91903,432887,177687,702476,386616,20035,217528,243795,29213,5599,5525,7996,91131,28.5,39.1,704314,480485,102434,2352,72266,569,46208,75335,96622
MD-7,745963,362718,251744,54311,306055,240979,54435,295414,-67.69%,255331,53248,148309,103347,34124,94265,80218,55335,76319,320046,42672,202900,1174,543373,239345,9336,792055,349789,29478,226764,201104,20517,25585,13256,10659,70691,27.1,36.7,701345,229729,409597,3123,25544,686,32666,44618,54335
MD-8,776724,299859,321459,71532,392991,275536,66786,342322,-46.26%,241365,87088,64985,60276,26807,147322,198991,120948,172864,287117,12742,627000,1838,125988,574080,14058,714126,396889,24794,197736,179236,24157,19509,7051,8677,152626,30.3,41,691738,357928,127945,4663,106853,0,94349,84986,153514
ME-1,686648,357756,258033,159936,417969,205601,150452,356053,-22.02%,227194,139477,128131,86319,53351,131810,89056,76039,102082,294515,63241,332800,1149,82766,245362,302788,630916,352849,15507,208360,227784,24013,1016,15761,4652,73360,24.5,44.1,643145,611734,12756,1058,11234,191,6172,43503,14158
ME-2,685599,386864,177037,200831,377868,152134,185141,337275,-9.24%,194729,155796,172464,100167,53796,93177,51262,55629,73650,299111,87753,186000,814,85859,185367,411598,682823,319631,18924,238433,229569,26774,686,9058,3960,43832,24,45.4,653225,629751,8313,3712,5593,174,5682,32374,12069
MI-1,778886,494887,182980,274976,457956,142938,236350,379288,8.95%,201547,198861,186776,131812,65280,95147,59669,55941,74059,340737,154150,164200,778,79903,168096,527305,775304,331690,20309,301562,245116,29495,1550,8976,5527,35476,20.8,47.5,734599,699817,8434,16547,4318,479,5004,44287,16374
MI-10,775839,336615,209969,214177,424146,166896,186855,353751,-6.54%,204501,165654,162583,119851,55885,104069,60607,67019,87116,322812,13803,200200,1093,106216,631294,10029,747539,375608,31996,233982,267225,25540,2554,3561,3669,61948,24.6,41.3,731656,568511,100939,2909,50871,105,8321,44183,21838
MI-11,764859,345272,273913,182216,456129,218157,162580,380737,-13.34%,238328,161327,100472,100087,43260,151717,129251,83176,114478,328786,16486,286800,1176,94724,635538,17502,747763,400145,25039,208411,259285,21193,243,5218,4849,102078,24.4,40.9,701171,521354,101233,1463,62464,321,14336,63688,42244
MI-12,775033,328562,285421,97504,382925,250140,85681,335821,-53.35%,298080,88038,154418,127008,50461,83943,57220,51973,72006,302721,25841,161500,1042,324101,422845,10515,757461,313624,39709,257004,212942,24940,5483,2596,6338,53292,23.6,37.4,735865,365504,347507,3045,11569,157,8083,39168,23818
MI-13,752657,367717,252919,83911,336830,230530,70626,301156,-64.02%,314106,67175,171405,111044,38071,66590,44701,44238,64964,301011,66706,118600,921,521486,297200,14831,833517,297458,43621,252474,196450,23821,8667,7087,5158,47171,24.3,36.9,689223,293339,335525,3451,17472,147,39289,63434,78297
MI-2,775529,370653,145233,262160,407393,114520,212045,326565,10.11%,175739,174973,196149,123635,55351,75415,40552,59683,74624,298158,72495,170700,764,63625,165315,530319,759259,333623,19914,277809,254134,27738,955,7369,3972,33016,25.6,41.9,729685,694725,15233,3933,3757,226,11811,45844,36321
MI-3,781872,322073,222082,186676,408758,166875,166348,333223,2.47%,188629,166290,136158,103285,43546,123129,69401,67276,88650,301177,20896,237500,1029,217806,417921,82097,717824,388357,22057,206648,278333,30938,4022,8381,4615,55697,20.2,35.7,705461,566418,88233,3448,20747,0,26615,76411,81740
MI-4,770400,335467,196701,213172,409873,152436,186511,338947,5.98%,185535,176490,141930,116502,47262,103140,61256,65294,85661,300220,35247,213300,895,142313,354557,240411,737281,370283,21245,222053,283543,24733,2464,6648,4117,43083,21,37.4,706225,594400,61509,3945,20569,487,25315,64175,67567
MI-5,776969,348764,150374,248444,398818,120319,208544,328863,8.38%,180292,178474,190537,123297,58339,83889,43596,61969,80718,305800,42964,174900,831,107604,248211,420125,775939,347252,18844,263823,267811,26803,1104,6450,4059,35318,24.2,42.4,722934,673350,30612,2704,5766,26,10476,54035,41171
MI-6,774940,326726,286129,164372,450501,227229,145708,372937,-19.71%,237913,141870,95610,91174,42388,143321,127786,85891,116475,310307,16419,306900,1207,103949,503907,107468,715324,386805,21415,230364,230966,20470,4797,9594,5897,108195,23.7,39.3,715368,549642,70807,1416,83242,204,10057,59572,35993
MI-7,777572,331744,221981,217743,439724,174728,189387,364115,-2.60%,213081,172653,128037,117954,54674,125780,71742,70080,92327,311116,20628,224200,953,140548,330636,275398,746582,374385,25875,233774,257055,22366,3383,7345,4624,74887,24.6,38.9,720007,639402,42327,3278,22879,125,11996,57565,42881
MI-8,771412,351469,215709,206999,422708,183258,179217,362475,-17.00%,255615,158683,169595,128487,65283,83267,49512,53588,72134,325505,25964,147700,834,184535,378994,244901,808430,330621,30979,263839,253872,21723,1874,4754,2033,38534,24.1,41,726008,584291,119092,2756,8766,154,10949,45404,41270
MI-9,774843,330435,160625,297509,458134,120813,249691,370504,14.61%,179283,198143,169595,125703,60523,98755,54715,73460,94868,303448,26987,244000,934,49754,349371,349656,748781,367767,21845,237975,273331,27134,988,3468,3083,53054,28.4,43.3,733115,687260,23599,2293,9835,81,10047,41728,30202
MN-1,714441,308262,172288,208062,380350,137508,186979,324487,-1.97%,184616,168341,137809,95500,63142,96120,55982,69959,91915,287498,20764,216500,891,133148,302216,249297,684660,370667,14975,186145,269142,31756,3539,13647,5900,40246,19.4,38.9,669181,600135,25008,4878,19237,10,19913,45260,50383
MN-2,722101,279631,221065,190867,411932,165132,169030,334162,0.23%,178123,168612,100453,93547,58482,141294,65714,95999,119694,271228,8403,337800,1275,58518,511642,75965,646124,392148,18343,154573,254430,27346,2534,6347,4337,92531,22.7,37.9,670593,554662,46873,2922,41917,218,24001,51508,52189
MN-3,706411,297752,258519,167389,425908,197909,155324,353233,-3.25%,197392,176080,84619,91401,51498,160165,93919,95334,130660,283792,13960,364100,1401,59470,561145,25672,646288,374846,17530,170114,225308,23477,3985,3479,4994,106488,21.7,40.9,654741,505735,73082,1879,57927,43,16075,51670,35991
MN-4,705033,296391,268899,119665,388564,221916,109167,331083,-27.62%,226938,127405,92830,84029,42111,138314,84483,78280,107254,280487,15904,315100,1179,258499,370076,16831,645407,360942,22094,177936,207390,25141,7746,9325,7454,97249,21.3,37.1,651611,453098,78030,2357,94860,153,23113,53422,49393
MN-5,708012,327491,319421,69139,388560,266219,65588,331807,-51.56%,263082,86552,81335,87433,38178,157123,89068,71636,100942,306099,21392,304200,1237,399422,239243,3436,642101,391900,30236,157400,201094,25166,15937,13122,11081,118787,21.3,34.9,640974,445586,116657,4582,39570,184,34395,67038,67380
MN-6,725893,275730,165870,238883,404753,122185,207737,329922,15.53%,147325,187296,116707,106071,60435,118991,49262,90836,110850,264998,10732,315900,1073,65455,390576,180341,636372,385586,16287,158611,272296,25093,2903,6282,2996,69911,25.6,37.5,682760,616120,30963,2280,21364,131,11902,43133,25499
MN-7,707323,348316,128550,260006,388556,106539,230294,336833,13.32%,167360,190445,151899,105882,74186,86904,37018,64737,81732,292792,55524,199600,754,85933,188127,429396,703455,347960,14758,201575,260707,26467,1437,11812,4904,36039,20.8,41.7,668513,629554,9875,5110,7885,914,15175,38810,35997
MN-8,718176,383600,182463,230050,412513,150302,198828,349130,-7.10%,208298,170356,143866,120346,71710,94972,47097,67313,86301,294139,89461,232800,902,106655,221650,366256,694560,333902,17582,233627,242150,23049,2552,9087,4806,46673,24.6,42.9,677594,631967,8087,24301,7023,251,5965,40582,15207
MO-1,761805,391407,278286,71041,349327,262735,73222,335957,-56.15%,325982,87107,134769,112882,40466,106771,84102,51770,76605,335475,55932,159200,924,412078,368935,16104,797117,369279,25407,221691,237014,24758,12841,8610,5955,73373,23,37.5,710534,319320,346002,599,30192,340,14081,51271,29131
MO-2,769003,323516,198772,232826,431598,158720,225231,383951,19.02%,185323,219431,109995,90927,42984,162606,108160,89358,124364,305831,17685,294400,1012,66249,572985,94096,733331,387189,15986,216452,271588,17971,1083,3120,2955,84646,23.7,41.9,703985,639335,25950,1157,30338,332,6873,65018,23174
MO-3,775035,343472,143368,247447,390815,117882,231516,349398,24.25%,159469,199678,155759,102919,50480,112673,72005,71309,93293,301159,42313,233000,925,83881,381725,257365,722971,390964,14597,219880,291033,26789,807,6549,3630,57088,23.3,39.1,720891,661794,30554,1836,17678,282,8747,54144,23301
MO-4,772047,351395,109083,257010,366093,89546,229813,319359,29.28%,139203,200023,188689,110873,49100,77094,46202,59197,76488,294140,57255,189400,820,92363,255980,399209,747552,347428,17586,234632,273713,31622,384,11054,4589,36225,24.8,39.6,716851,661663,29792,3538,6588,806,14464,55196,36586
MO-5,771274,362327,217868,125645,343513,183997,118741,302738,-21.39%,226563,130812,153120,114538,43558,111558,67817,61749,81220,329409,32918,196000,1033,295808,400027,23158,718993,386598,24493,201082,270542,26564,4339,4625,5541,70627,22,36.5,705016,478155,173524,5032,14624,1957,31724,66258,79406
MO-6,771992,338120,115550,255750,371300,98150,231163,329313,25.89%,149862,195313,188640,109832,42037,91359,50971,64857,82960,292468,45652,179300,787,113195,286606,352661,752462,356202,14557,243345,271619,29776,1335,5826,4452,39442,22.7,39.9,729707,679375,28834,3584,8414,787,8713,42285,28801
MO-7,775102,350856,103422,254241,357663,82189,232326,314515,38.30%,117358,208889,165142,125305,37218,93529,50982,54711,75760,311029,39827,179800,816,148550,300366,276408,725324,363287,14766,241008,268694,33112,865,9366,3969,40251,21.5,38.8,704846,665332,8556,4531,10925,2546,12956,70256,43827
MO-8,771929,346539,86665,274776,361441,77849,252499,330348,33.20%,138151,204561,207780,108599,44994,67625,37189,52952,69299,299215,47324,155500,707,111240,244134,435490,790864,338484,15105,264531,267146,30017,676,4494,3009,26312,23.8,40.5,707656,670986,23603,1769,5405,107,5786,64273,17219
MS-1,745526,335603,111535,217292,328827,96616,198299,294915,25.81%,113666,197290,157785,96866,52263,78238,42103,53298,71379,288026,47577,163900,797,94711,232769,396715,724195,330195,15976,243054,276011,22530,693,2159,3352,19545,23.8,38,709810,485526,202049,1815,4270,145,16005,35716,27326
MS-2,723186,336964,208181,121247,329428,201803,117922,319725,-31.27%,234402,134912,141980,106449,44034,63713,42999,37933,55694,275332,61632,101300,771,245351,201140,372246,818738,266095,28754,273489,213425,24454,1393,2195,2276,15796,24.5,38.5,697314,223207,464850,1721,2594,0,4942,25872,14007
MS-3,738621,331975,128372,212292,340664,111864,199550,311414,24.80%,122968,208969,142686,103235,49132,82767,54418,52442,73804,280831,51144,155900,848,109436,211240,400606,721283,319797,17332,246601,265873,24024,295,3028,5306,18298,26.2,38.7,710272,438860,245129,8832,7490,171,9790,28349,19251
MS-4,742632,327499,91310,205933,297243,74848,184943,259791,36.99%,83626,183444,143736,121935,54414,78938,44487,52683,70938,285422,42077,153200,882,123107,262414,303659,689180,311529,21940,251477,253818,23760,470,5006,9148,22325,26,39,683103,506418,152922,3280,10555,261,9667,59529,33284
MT-1,556300,265614,143417,165186,308603,101340,131085,232425,7.80%,121689,115432,97051,89269,30171,93409,57859,64288,93616,226537,39077,394800,954,90412,160647,228948,480006,271680,10067,176242,183610,21417,893,8696,7512,44192,19.5,40.1,519524,481316,2148,21598,6512,126,7824,36776,21843
MT-2,547971,256302,101369,178416,279785,76369,148155,224524,20.24%,110470,128450,108476,92402,39261,77968,37584,62239,80429,222412,33890,267100,823,109444,194118,205786,509348,255885,11809,165626,188895,23984,1247,9933,3198,29230,18.8,40,514703,457873,3555,42298,3797,271,6909,33268,25577
NC-1,747139,356858,208361,179763,388124,194354,158663,353017,-14.49%,202349,153142,167057,111848,55179,67305,45155,46702,65229,306250,50608,152200,825,108410,255452,411741,775603,318605,25376,265107,248314,25152,469,2457,7037,30406,24.9,40.7,707073,358789,303378,5427,6943,464,32072,40066,48448
NC-10,754893,331433,117766,274555,392321,94834,229475,324309,30.89%,114133,196916,163136,108421,61006,87895,42917,58845,78868,298308,33125,193800,827,91211,278697,338763,708672,346914,20933,246677,264546,30935,223,2970,4849,36654,24.3,42.4,687207,582551,60916,2204,16244,176,25116,67686,52123
NC-11,750100,402569,192267,236407,428674,150104,206800,356904,10.12%,158089,177732,146131,109346,53856,122069,76519,55831,80076,306941,95628,260700,926,71062,226872,397827,695761,332597,19658,279324,249470,26054,675,4926,4794,40977,23.1,45.7,688738,637524,20906,9099,6714,42,14453,61362,50960
NC-12,743616,306431,235497,125150,360647,184230,108737,292967,-24.20%,159727,98776,100043,100793,42426,127595,69504,69019,91255,275937,30494,284200,1250,143197,433670,30388,607255,382304,20593,179081,219554,23417,3570,2428,4358,120533,25.8,35.9,683401,318788,264726,1937,37501,179,60270,60215,107860
NC-13,770237,303329,198300,191578,389878,150800,158351,309151,2.94%,137773,138181,120449,94353,55153,129989,68212,71598,93793,282211,21118,283000,1055,86413,312551,219052,618016,369174,19207,211202,248633,26485,1063,4662,3800,80726,27.9,38.2,698050,472440,154763,5376,18130,330,47011,72187,97929
NC-14,764197,346593,224590,160490,385080,169545,138055,307600,-1.72%,143102,131637,94993,90473,40690,170372,95644,76176,114581,324039,22554,339800,1300,170726,401733,51245,623703,413404,21263,177846,244287,25064,4384,6668,5898,117435,23.7,37,686583,443463,154364,2712,45619,63,40362,77614,93050
NC-2,752758,324919,264141,144709,408850,204617,127311,331928,-11.37%,166596,125582,63921,73134,38638,175279,129648,92635,123289,296926,27993,395200,1319,129254,423614,42372,595239,403664,22174,179478,216490,21607,2039,2941,7287,146801,24.1,36.9,690958,441466,132915,2515,75780,74,38208,61800,75765
NC-3,749741,384562,134414,227412,361826,112740,195882,308622,20.53%,122889,173240,149353,114579,56653,73962,45081,55911,74525,297722,86840,185200,900,78000,265606,390928,734534,300868,20990,233415,258782,35499,792,10976,5262,34903,24.3,38.1,684847,495191,127677,5000,11268,571,45140,64894,87048
NC-4,750874,329767,270348,128685,399033,231967,110638,342605,-30.02%,207686,108941,101909,79150,46865,129321,103983,66293,92965,302190,27577,277200,1104,152462,326881,173378,652722,363003,22459,229516,225273,25878,3947,6100,5194,90112,24.5,38.1,682276,415468,186413,4014,31023,108,45250,68598,89746
NC-5,743662,367871,156407,242333,398740,130876,211069,341945,18.42%,143470,188237,148094,98910,50982,95084,60797,51640,73880,308286,59585,190900,803,109702,260258,362120,732079,329030,21795,263528,247793,24120,1849,4663,2547,38621,24.4,42,689097,565371,78769,3802,10316,408,30431,54565,71849
NC-6,754077,329805,217774,169200,386974,188247,151426,339673,-9.45%,184780,145514,126670,110678,49487,110051,62917,59118,81088,296969,32836,193300,938,195794,326611,166046,688451,357748,23117,224475,257748,21555,3203,5343,6874,53318,22.3,39.3,690752,389172,236679,3091,29888,588,31334,63325,71461
NC-7,757948,381595,175538,227496,403034,142303,186311,328614,4.97%,148983,160687,142771,117432,60533,108599,56455,56858,80748,316031,65564,230800,1015,94146,302324,300056,696526,330118,21079,264092,252135,25265,1491,2153,4801,40215,24.2,42.4,704353,475229,130187,55897,7401,115,35524,53595,54849
NC-8,756029,312066,127293,261151,388444,100173,220513,320686,29.67%,109446,186318,157028,107500,56482,89001,41775,63115,85543,277281,34785,224500,824,93995,267726,334232,695954,343927,19422,236575,252562,26202,501,3076,2824,50440,25.9,40.8,692925,544955,97706,5190,17565,97,27412,63104,72024
NC-9,755891,323900,161402,189802,351204,134316,159379,293695,4.94%,135043,139504,121039,120326,62001,87159,57369,58473,79039,290541,33359,179400,992,121528,285952,279254,686733,298510,22372,232185,255352,29122,898,8411,4375,36479,24.1,36.5,679739,447046,168934,10478,10619,2700,39962,76152,96889
ND-1,774948,374435,114902,235595,350497,93758,216794,310552,20.22%,141403,168887,133316,106798,73471,113314,47533,66519,86666,322511,51924,224400,839,126020,314541,232012,672573,394601,11627,194907,312537,30717,1060,12101,5977,35500,17.5,35.8,727812,644265,22561,35955,11255,1792,11984,47136,32043
NE-1,658196,276912,136856,171834,308690,101993,151680,253673,15.91%,115519,139313,98284,88002,49665,101684,56282,68908,87825,261275,15637,220900,938,158773,335715,100766,595255,354238,8917,152724,262479,32246,1596,7846,5233,43320,19.6,35.7,598714,529338,21503,6727,15939,331,24876,59482,71650
NE-2,656171,275582,163346,143563,306909,122402,127556,249958,6.47%,125541,120696,90277,92741,36775,111220,65896,72455,101929,260954,14628,237100,1015,226387,302363,39786,568536,342835,12029,147717,241797,23306,2328,5945,3996,63825,20.3,35.7,591844,469980,61121,5242,23770,124,31607,64327,81930
NE-3,649325,301804,74381,241449,315830,60099,216725,276824,41.99%,92259,192970,136639,100275,53302,73606,36573,60513,77994,263753,38051,159600,754,130027,195644,336868,662539,322027,6880,180989,252860,25345,334,10440,4664,22352,17.9,40.7,602038,541202,9011,11578,5576,139,34532,47287,80220
NH-1,697387,322313,210310,186410,396720,170707,176898,347605,-1.43%,183487,161880,121670,92636,50437,136304,77912,91872,113237,280962,41351,366800,1317,93094,329959,222735,645788,383956,13373,184300,260193,25384,1259,6832,4950,79747,25.9,42.1,649416,609775,12682,612,14623,0,11724,47971,30508
NH-2,691605,321666,214627,179250,393877,177819,168892,346711,-9.90%,201339,154654,146234,86621,48825,111052,80547,84417,110510,267064,54602,318900,1213,76823,247793,343938,668554,361794,14550,203892,252675,25656,1271,8990,4111,62061,25.5,44.1,650300,611656,7609,938,21799,39,8259,41305,29815
NJ-1,772510,314416,247673,149308,396981,203552,124415,327967,-30.30%,225038,121382,159717,92494,47882,120296,72977,80459,105247,297914,16502,242500,1241,130815,569079,38739,738632,372949,34383,215899,248593,26581,8829,5435,5058,68919,25.3,39.2,713710,472225,123319,2545,41592,343,73686,58800,116706
NJ-10,768400,303826,236302,53598,289900,217240,43246,260486,-69.50%,221822,48919,163149,94209,38949,104451,60321,61465,89544,288102,15724,382400,1303,385145,296111,16446,697701,343468,46000,224111,179777,25088,50129,9675,15087,56049,31.5,37.3,669091,161071,373429,1435,47956,71,85129,99309,163414
NJ-11,769512,295768,252518,179005,431523,198569,158903,357472,-5.32%,188244,172702,93561,65829,34558,170753,142784,117198,168250,287534,8234,543200,1721,72553,638744,21275,732571,382983,30847,204693,208266,16027,16966,7939,7611,119301,28.4,41.7,688041,492613,43993,1694,88266,671,60804,81471,126044
NJ-12,779815,296127,235929,114140,350069,197484,100711,298195,-33.24%,196352,103588,122097,81652,30041,133574,121659,99002,135139,287154,8973,396000,1539,142342,545546,29598,717486,382486,29867,217417,204794,28995,14923,5787,13295,104634,28.7,40.6,709676,331183,132357,2447,145911,519,97259,70139,158623
NJ-2,782031,415824,192116,212723,404839,153334,177599,330933,-7.06%,181527,160847,181854,95853,45296,112209,64704,73928,99592,314181,101643,272200,1166,127968,426548,209736,764253,352851,28746,257687,254305,28042,6672,6998,5999,43502,26.4,43.3,692961,514759,92387,2700,29475,682,52958,89070,134165
NJ-3,779042,304341,248448,186277,434725,195590,160575,356165,-19.81%,206325,158981,127321,88168,43232,161623,97589,102960,132432,290853,13488,338400,1516,58356,592034,91787,742177,386330,27370,216726,258429,22024,6926,3820,5973,87747,27.5,42.1,710962,522432,97791,811,64907,166,24855,68080,87733
NJ-4,782528,327704,163477,259866,423343,120258,217870,338128,17.17%,143770,202339,154618,96625,43163,129984,73964,84057,119079,289018,38686,387700,1514,80358,558633,61215,700206,346630,27638,234162,234999,26901,5793,4900,5338,60823,27.6,41.4,723253,648237,26362,3509,21627,184,23334,59275,76638
NJ-5,781335,300799,240337,186713,427050,190415,162317,352732,-3.67%,189188,171139,105406,77897,36195,175291,124722,113326,153824,286991,13808,499700,1716,75822,594599,71934,742354,392388,32541,212525,228545,23504,20326,8059,7078,96497,30.2,43.7,693210,468173,48356,2274,125514,288,48605,88125,134165
NJ-6,770928,298159,197763,131984,329747,168241,113080,281321,-27.53%,176639,114805,127471,85722,37317,138404,87090,91772,119297,281422,16737,404600,1631,174151,535795,14604,724550,389158,34641,204658,227651,29730,17793,11684,15001,76666,29.1,38.9,682935,355252,86607,9028,143868,146,88034,87993,182176
NJ-7,777024,307370,235720,218813,454533,175166,197218,372384,11.65%,173878,204927,117023,78730,37365,172531,127239,119567,164116,299572,7798,458400,1512,44125,585969,124397,754491,400943,27683,208282,244292,17832,10224,5580,4771,110790,30.9,43.7,700551,559694,43940,714,63134,370,32699,76473,92923
NJ-8,743665,327269,172276,64976,237252,163446,46344,209790,-57.55%,153326,54053,143306,58434,24225,128906,87101,71688,110063,303092,24177,464800,1512,503601,155827,5477,664906,385835,32788,182819,133751,35149,72283,22099,17796,95790,31.2,35.8,575002,220888,62926,4597,80926,0,205665,168663,390766
NJ-9,760340,287988,185776,125871,311647,164983,99655,264638,-33.03%,158882,99505,153899,80809,35781,116331,66143,75997,103882,272112,15876,441000,1425,224115,456961,20480,701556,372498,42633,195475,219065,35617,28292,13066,11876,56796,27.1,38.5,587506,316361,62618,3973,71879,224,132451,172834,328282
NM-1,710196,332215,201152,149216,350368,147409,122842,270251,-7.38%,169308,127530,103843,115336,52143,105432,95352,61331,87250,305498,26717,263800,958,250723,324511,104460,679694,330332,24847,228738,226938,23230,1534,6211,6592,63851,24.2,40.7,527941,381668,20530,39688,19678,310,66067,182255,302848
NM-2,702024,294744,137454,121870,259324,106832,93220,200052,-9.87%,138102,104140,134936,96278,42449,62165,45183,49905,68450,258261,36483,176200,825,211992,255663,217835,685491,277117,21482,249188,205094,28056,643,3744,6351,34452,23.1,36.3,457352,269439,13175,36673,7956,641,129468,244672,436876
